Category Name,Focus Area,Product Type,Percent to Reimburse,Category Description,Focus Area Description,Product Type Description, Program Name
Memberships,Gym Membership,Gym Membership,100%,"This includes memberships to classes, support group and personal trainers","Pays for a gym membership, but only to the really nice gyms.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Personal Trainer,Personal Trainer,100%,"This includes memberships to classes, support group and personal trainers",This pays for Jane Fonda to help with some leg lifts,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Other ,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Yoga,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Pilates,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Jazzercize ,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Aerobics,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Aquatic Exercise,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Spinning,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Memberships,Exercise Classes,Dance Lessons,100%,"This includes memberships to classes, support group and personal trainers",Exercise classes that are regularly occuring,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Other ,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Sports Leagues,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Ski Lift Tickets,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Children's Sports,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Golfing Green Fees,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Bowling,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Horseback Riding,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Tennis,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Baseball,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
